"artistName","trackName","trackID","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"Isabel LaRosa","i'm yours","37vVp2sWHuuIBOSl1NswP6",0.398,0.705,5,-7.07,0,0.0756,0.204,5.13e-05,0.443,0.635,111.487,145668,4
"NIKI","I Like U","1ctbkptXLNIoEVTNAFYV4d",0.479,0.527,5,-7.1,1,0.276,0.0729,0,0.0879,0.351,199.664,267733,3
"Marshmello","Leave Before You Love Me (with Jonas Brothers)","4qu63nuBpdn0qHUHuObEj1",0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4
"Lauv","Kids Are Born Stars","77MrX98hyOXLSs3dIfmOYk",0.802,0.547,8,-7.034,1,0.0518,0.205,0,0.109,0.922,109.966,187026,4
"5 Seconds of Summer","Lie To Me (feat. Julia Michaels)","6GzApXoBQiiAjak3tOQfV3",0.611,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.771,159.927,149878,4
"Ariana Grande","boyfriend (with Social House)","0Ryd8975WihbObpp5cPW1t",0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,186107,4
"Alina Baraz","If You Let Me","2BfxLAYgetcxiyXJA7ItoF",0.604,0.683,5,-8.612,1,0.0434,0.556,0.449,0.147,0.457,138.078,135347,4
"keshi","like i need u","7ivYWXqrPLs66YwakDuSim",0.748,0.465,5,-8.163,1,0.0869,0.399,0,0.294,0.412,119.872,182679,4
"Ariana Grande","in my head","4T652DlATVHe0jdLKaN3Bw",0.662,0.6,0,-6.402,1,0.0703,0.173,0.000137,0.109,0.331,134.979,222947,4
"Fiji Blue","It Takes Two","5V7qLbZJNTwaEVbZADqofc",0.731,0.597,4,-7.661,1,0.0567,0.338,0.00114,0.0771,0.863,101.991,159013,4
"Fiji Blue","Affection","5eLjgK8JT276Xs8500KdEn",0.827,0.49,10,-8.37,0,0.055,0.321,0.000137,0.095,0.836,113.002,174211,4
"Wallows","Are You Bored Yet? (feat. Clairo)","57RA3JGafJm5zRtKJiKPIm",0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
"Bazzi","I.F.L.Y.","4a6q8CR2hzLk2plDkSxkfD",0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,165714,4
"ELIO","hurts 2 hate somebody (with Chase Atlantic & No Rome)","2EKo5WC2LX4fiplTWan5Rl",0.623,0.683,7,-3.512,1,0.0437,0.0995,0,0.372,0.747,90.021,186665,4
"Bazzi","Star","2JuIs3XJlYPy8vBO66CEkJ",0.694,0.389,8,-5.41,1,0.0706,0.3,0,0.158,0.409,90.984,169872,4
"Claire Rosinkranz","Frankenstein","1xSmjB0t19q4CSJ0X0ymGB",0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92,202249,4
"Cashmere Cat","Quit (feat. Ariana Grande)","4rwqrKdwlFWJ6LvPYaOtgn",0.44,0.413,0,-7.365,0,0.0407,0.105,3.4e-05,0.0997,0.141,86.911,258188,3
"Lauv","i'm so tired...","7LpMG3AEaIJgs62HQhAa91",0.548,0.735,11,-7.572,1,0.236,0.173,0,0.195,0.498,101.252,162587,4
"Ariana Grande","needy","1TEL6MlSSVLSdhOSddidlJ",0.647,0.309,7,-7.948,0,0.0366,0.78,7.41e-06,0.202,0.195,87.045,171573,4
"Claire Rosinkranz","Backyard Boy (with Jeremy Zucker)","4rE4qF4baoXpustrgtnFRw",0.753,0.739,5,-6.49,1,0.208,0.303,5.36e-06,0.0876,0.494,138.09,129026,4
"Lauv","All 4 Nothing (I'm So In Love)","7I5WT7DtpwSAhEeDLpZEfm",0.72,0.819,1,-4.588,1,0.0362,0.0411,0,0.0606,0.898,131.99,183014,4
